DEPTH,GR,RHGX_HILT,NPHI,AT10,AT20,AT30,AT60,AT90,PEFZ
3250.2349,47.115993,2.8409152,0.01984236,31.560421,33.971287,32.076702,33.147915,35.204174,4.2539816
3250.3872,39.307205,2.858836,0.01859707,26.51306,26.997454,25.084564,25.899952,26.46062,4.386961
3250.5396,31.059723,2.8684297,0.017567372,46.817245,40.754044,38.347626,43.979984,38.621708,4.2873955
3250.6921,28.07659,2.8825002,0.015174893,78.20187,59.893208,59.390644,67.28815,55.82488,4.129114
3250.8445,25.268936,2.8869622,0.013630767,246.85771,78.42379,89.51752,103.279945,81.27856,4.036318
3250.9968,23.075457,2.8556855,0.0097586885,860.85657,186.78264,151.28543,170.50926,141.11064,4.0139494
3251.1492,21.736204,2.8073432,0.007731653,1208.3971,369.7336,486.46893,661.90295,424.12228,4.0234103
3251.3015,22.05985,2.7903214,0.0076819942,606.2582,329.27383,822.6391,294.8741,377.91974,4.0879436
3251.454,27.148722,2.7766247,0.0032363092,967.9923,550.16534,948.1385,362.3144,560.3754,4.2046056
3251.6064,29.557045,2.7652009,0.00091642415,773.0772,649.08673,564.6829,363.94107,887.91656,4.4155064
3251.7588,34.410007,2.7751112,0.0038374614,350.33838,286.23697,456.67865,560.2496,780.1496,4.689109
3251.9111,35.901577,2.8093352,0.000918212,125.88976,189.95459,168.5705,260.1643,297.21426,5.029334
3252.0637,34.657032,2.8407078,0.0019024124,183.6239,131.80734,136.59276,280.41113,230.31148,5.3815293
3252.216,29.118011,2.8096044,0.000534557,301.1115,152.21765,177.9225,371.80936,250.30444,5.6700644
3252.3684,22.80079,2.7695494,-0.0010743381,320.66656,191.19191,210.31894,403.63013,251.82082,5.818495
3252.5208,20.080875,2.7414894,-0.0013329588,462.24146,249.67513,233.72578,432.16666,322.49106,5.8060284
3252.6733,19.390413,2.7414498,-0.002670517,605.5143,330.58755,358.68118,418.40533,387.82266,5.7157435
3252.8257,17.54789,2.7467804,-0.0033891215,905.388,379.8055,411.50134,324.24124,423.05502,5.641086
3252.978,16.056322,2.7480376,-0.002387893,1275.2291,622.79504,580.59235,364.60562,556.29266,5.6239405
3253.1304,17.811106,2.76336,-0.0020247723,1072.2992,514.1146,450.84476,227.6405,314.40094,5.5127544
3253.2827,19.56589,2.7712357,-0.002696102,386.72748,196.4766,158.76788,112.32914,178.95,5.2529583
3253.4353,21.057457,2.7880404,-0.0033897369,629.8085,228.78206,339.07623,212.89197,259.03812,4.9457183
3253.5876,19.653631,2.7670336,-0.0034951572,530.5274,230.05238,653.0385,320.5219,300.22906,4.7523317
3253.74,19.220846,2.7715473,-0.001793662,802.23376,209.59714,590.98486,459.4798,292.2225,4.784167
3253.8923,19.308584,2.7753243,0.0008555254,452.92215,173.17711,509.8259,446.12357,210.6163,4.876528
3254.045,19.465528,2.7718172,0.001265627,256.61078,138.75354,555.1891,719.32294,122.278595,4.970327
3254.1973,19.10866,2.7160141,0.0018088914,313.5707,152.31406,741.1911,1059.853,153.36075,5.0010953
3254.3496,18.37087,2.6647835,0.0010362199,380.12192,190.72899,1312.1561,1790.7295,532.4491,5.0858135
3254.502,18.740362,2.6472337,0.0022210074,341.59854,250.03777,1764.7443,1950.0,826.61957,5.286556
3254.6545,18.564884,2.6923895,0.006160463,439.82233,221.57161,407.05154,1250.6533,595.66504,5.5082846
3254.807,18.548008,2.801154,0.008762969,534.64154,655.68115,733.0734,983.5862,708.7519,5.5179744
3254.9592,18.723486,2.8863168,0.012628445,606.6802,1208.0585,1294.4829,774.9443,1248.8184,5.183537
3255.1116,20.47827,2.8866093,0.015601001,419.9155,1632.0166,797.0582,1010.5688,935.78876,4.634901
3255.264,22.198067,2.8543384,0.018247213,260.43088,344.87915,334.17773,575.6003,337.15396,4.263432
3255.4165,23.250937,2.837047,0.017332248,124.16501,196.24309,164.70801,421.78973,162.0919,4.217725
3255.5688,21.232937,2.8302636,0.014086212,64.32754,79.50023,70.74921,84.87475,60.59507,4.416382
3255.7212,18.951717,2.792803,0.010557288,125.88728,101.891525,99.69615,152.13077,77.635956,4.578104
3255.8735,16.319542,2.712378,0.008480689,189.53091,134.95113,333.56357,343.98538,162.81789,4.589233
3256.0261,18.863977,2.7352383,0.008425402,264.83917,134.26364,235.16254,130.11668,120.403275,4.464679
3256.1785,22.89998,2.796354,0.010197094,289.91208,163.71278,268.9675,233.80057,178.07936,4.334627
3256.3308,24.303808,2.871662,0.014587587,447.55225,217.8785,357.37735,366.25723,260.76843,4.291193
3256.4832,24.04059,2.8288014,0.008413449,1067.6503,216.38751,841.64404,1164.8713,862.08527,4.379731
3256.6357,23.514154,2.8355694,0.004921449,768.2754,232.32544,1068.7632,906.9288,1002.5781,4.48945
3256.788,26.197493,2.8606122,0.0092891725,781.96423,150.58481,194.97675,1042.4336,861.1808,4.5431976
3256.9404,26.704062,2.8863485,0.009308604,1251.5531,264.70135,352.7683,1083.6323,794.13544,4.530906
3257.0928,24.861536,2.8513398,0.0076874956,1757.199,561.4639,853.2551,1235.4486,650.19635,4.6444182
3257.245,24.810373,2.832235,0.005985843,1950.0,899.0314,1652.2007,1853.5024,702.46344,4.840356
3257.3977,21.61168,2.8485475,0.006773175,1950.0,821.62897,1268.6788,662.6651,390.2359,5.009404
3257.55,20.032373,2.8619225,0.0046784906,1950.0,394.89658,751.0657,492.9225,432.53247,4.9352827
3257.7024,16.7348,2.8431013,0.0032655788,1410.1625,323.90097,242.89085,267.94986,213.27658,4.7546673
3257.8547,16.457033,2.8113801,0.003533578,1653.0304,151.71266,219.36273,337.17432,187.58427,4.7278576
3258.0073,18.124077,2.7934093,0.0014830591,1503.8251,164.4914,378.89902,464.56674,374.9661,4.885897
3258.1597,18.7901,2.8012671,-0.0002495538,1457.15,231.71837,374.43842,543.3308,469.4583,5.0416207
3258.312,21.763245,2.815112,-0.0006230575,1219.0485,276.64114,419.85318,460.28366,731.2982,4.957107
3258.4644,25.160965,2.80475,0.0012672886,1311.5234,313.1274,1002.5666,1548.2661,1950.0,4.777809
3258.6167,27.576302,2.8009515,0.0025968165,1921.8234,326.66638,649.7458,998.4144,689.1467,4.6770496
3258.7693,28.07962,2.7844958,0.0030274102,521.414,197.7147,260.09946,724.913,408.66403,4.7018466
3258.9216,25.615744,2.7869842,0.0010216216,477.23676,146.16913,168.10555,587.14026,212.7017,4.734683
3259.074,22.45101,2.783979,-0.00029507806,802.70276,186.93672,190.31493,523.8734,221.52203,4.6935253
3259.2263,19.810026,2.789631,-0.0014874293,904.68964,277.88907,318.21725,1267.7618,519.1797,4.6603036
3259.379,20.03324,2.7860863,-0.0014029572,1432.6536,446.01404,523.34753,1611.5593,632.82684,4.6657543
