DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,CMFF,CMRP_3MS,TCMR
5430.1646,34.928017,1950.0,341.7078,54.405132,2.4919467,0.122816585,63.10491,4.5264564,0.103958234,0.13424645,0.13894631
5430.317,32.937042,1950.0,164.83842,47.929745,2.4859242,0.13109356,64.60241,4.361521,0.11605389,0.14783546,0.1503422
5430.469,30.507242,1950.0,305.86545,54.612446,2.477598,0.12612031,64.16688,4.1867204,0.12709494,0.15803863,0.16070034
5430.6216,29.429398,1950.0,371.90936,60.165997,2.4782834,0.12291158,64.48972,3.9874256,0.12553474,0.15388408,0.15915966
5430.774,27.125708,1950.0,313.9285,70.6585,2.4797475,0.11383044,64.741714,3.867257,0.10655751,0.13063793,0.13741376
5430.9263,26.946066,1950.0,204.19275,79.64497,2.4885669,0.10747889,68.182396,4.2387795,0.10655751,0.13063793,0.13741376
5431.0786,27.664627,1950.0,121.00077,83.248924,2.4761446,0.09622969,72.26504,4.9509864,0.08280093,0.105230145,0.11204049
5431.2314,28.742472,1950.0,74.16799,78.60088,2.438371,0.096665934,72.11198,5.8303576,0.06518668,0.096628025,0.10377769
5431.384,27.664627,1950.0,48.756176,67.18559,2.4287183,0.108864665,69.60271,6.7949524,0.058574226,0.13591513,0.14705569
5431.536,24.970016,1950.0,31.139345,47.135242,2.383518,0.12024885,70.24209,7.870185,0.058173172,0.21716791,0.2324544
5431.6885,23.291742,1950.0,15.821403,97.37993,2.3386154,0.16366301,68.49627,9.067039,0.058173172,0.21716791,0.2324544
5431.841,23.471384,1950.0,42.248352,72.73203,2.2767684,0.21068574,67.55203,9.729034,0.0655066,0.33372962,0.36093476
5431.993,24.189949,1950.0,47.84507,87.90377,2.2250702,0.24741533,66.77288,9.997924,0.08224658,0.42208046,0.46134242
5432.1455,25.508942,1950.0,55.306976,75.56282,2.1744967,0.26954612,65.75781,10.0,0.1063283,0.48121843,0.53718376
5432.298,25.688583,1950.0,50.7655,46.694386,2.2073762,0.32918388,70.79743,9.763564,0.12964052,0.49791086,0.5604427
5432.45,24.61074,1950.0,42.915237,30.205925,2.3294988,0.33702323,70.06035,9.101369,0.12964052,0.49791086,0.5604427
5432.603,23.89218,1950.0,37.97029,22.082388,2.4374828,0.26891568,69.8753,8.3175955,0.13740154,0.4750747,0.531803
5432.7554,23.173615,1950.0,37.113323,18.375784,2.429592,0.16601402,69.741035,7.91057,0.12678395,0.41710138,0.45949888
5432.9077,23.892176,1950.0,39.570427,16.931374,2.4153054,0.15311877,69.60553,7.921519,0.09978244,0.3338886,0.3590025
5433.06,25.12124,1950.0,42.848995,16.44266,2.4575958,0.17935063,69.67029,7.7897396,0.07320045,0.28150642,0.29152805
5433.2124,26.085215,1950.0,42.474075,15.913472,2.5351176,0.19168219,69.44432,7.2296395,0.07320045,0.28150642,0.29152805
5433.3647,25.524307,1950.0,37.2865,15.104,2.5532312,0.176037,68.752785,6.448799,0.053989798,0.25233248,0.25481218
