DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5436.87,20.823177,6.82487,6.174823,5.7782845,2.5597203,0.16340323,63.843674,4.6683497,0.0033006116,0.04738866,0.08905112
5436.9462,21.471794,7.055576,6.34575,5.921743,2.5641522,0.16201892,64.03079,4.704756,0.0033006116,0.04738866,0.08905112
5437.0224,22.26719,7.248222,6.484947,6.0377955,2.5701873,0.1605485,64.03079,4.7348833,0.007579116,0.056375105,0.08861676
5437.0986,23.182274,7.3776054,6.5759544,6.113265,2.576933,0.15924117,64.36773,4.752242,0.007579116,0.056375105,0.08861676
5437.1748,24.150257,7.4222016,6.604851,6.1371517,2.5828888,0.15834552,64.36773,4.7546234,0.010850366,0.07840883,0.098420545
5437.251,25.109356,7.370658,6.563943,6.103125,2.5869083,0.15793939,64.98071,4.7438517,0.010850366,0.07840883,0.098420545
5437.3272,26.006481,7.2294393,6.4573092,6.014316,2.5885608,0.15791044,64.98071,4.720892,0.013761283,0.080069415,0.09958723
5437.4034,26.806755,7.0254426,6.30347,5.886127,2.5880942,0.15799516,65.73154,4.6849165,0.013761283,0.080069415,0.09958723
5437.4796,27.46387,6.7998433,6.132559,5.7440257,2.5865164,0.15802452,65.73154,4.633631,0.015559154,0.0832793,0.099517524
5437.5558,27.894331,6.598142,5.9806256,5.61904,2.5847697,0.15796678,66.26605,4.569215,0.015559154,0.0832793,0.099517524
5437.632,28.001701,6.4562006,5.8767962,5.5368285,2.5837507,0.1578275,66.26605,4.5012937,0.01886309,0.089559905,0.10596423
5437.7082,27.70556,6.397793,5.841342,5.5157576,2.5835862,0.15770335,66.296074,4.449892,0.01886309,0.089559905,0.10596423
5437.7844,26.96854,6.4356246,5.885848,5.5667405,2.5842674,0.15766588,66.296074,4.4387183,0.018611418,0.09449616,0.11441184
5437.8606,25.849434,6.5695014,6.0111194,5.6907926,2.5850592,0.15743983,66.296074,4.4848695,0.018611418,0.09449616,0.11441184
5437.9368,24.528023,6.7805996,6.2020493,5.8744583,2.5851653,0.15648822,65.796616,4.587517,0.021070665,0.09057122,0.112122774
5438.013,23.238153,7.025924,6.4236426,6.086066,2.584013,0.15443192,65.796616,4.727389,0.021070665,0.09057122,0.112122774
5438.0892,22.1551,7.2465186,6.625478,6.2799582,2.5820749,0.15143426,64.987114,4.87107,0.02026683,0.09667885,0.112256
5438.1654,21.32647,7.403524,6.7737355,6.4252696,2.58009,0.14801085,64.987114,4.9852905,0.02026683,0.09667885,0.112256
5438.2416,20.695095,7.506192,6.876676,6.528524,2.5793986,0.14488913,64.176956,5.047015,0.020340428,0.09781711,0.111013584
5438.3178,20.182806,7.622909,6.992339,6.6407957,2.5808654,0.1426623,64.176956,5.0505414,0.020340428,0.09781711,0.111013584
5438.394,19.773129,7.8451324,7.198349,6.8322678,2.5848835,0.14164579,63.590424,5.0040865,0.017487347,0.09755861,0.11317
5438.4702,19.473982,8.247198,7.5595756,7.1606326,2.5904741,0.14191125,63.590424,4.925148,0.017487347,0.09755861,0.11317
5438.5464,19.297363,8.859198,8.103615,7.648224,2.5962462,0.14335155,63.34047,4.8323255,0.019545494,0.0908386,0.109893695
5438.6226,19.226486,9.604683,8.748709,8.213465,2.6005297,0.14568934,63.34047,4.7403326,0.019545494,0.0908386,0.109893695
