DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,CMFF,CMRP_3MS,TCMR
5488.686,18.344227,229.74907,73.13964,152.2316,2.4932854,0.18183278,67.17918,6.066652,0.10987543,0.1433378,0.14334093
5488.8384,15.589806,183.01463,83.0151,96.22593,2.4272938,0.2092997,66.43719,5.7040086,0.13824299,0.16997194,0.16997506
5488.9907,15.148575,128.32329,60.429356,64.34301,2.4106965,0.2145327,65.96722,5.3692293,0.13421445,0.16391493,0.16508552
5489.143,14.718891,76.603134,43.963387,34.749203,2.4138787,0.210541,64.888306,5.2290707,0.11741647,0.15026656,0.15541914
5489.2954,14.587625,72.992805,45.50603,34.080303,2.422581,0.21465361,64.87423,5.1843357,0.09708187,0.134775,0.13985577
5489.448,14.525195,90.42866,49.748604,35.283905,2.4326084,0.21210377,66.16992,5.191831,0.09708187,0.134775,0.13985577
5489.6006,13.677382,100.77961,54.955616,37.680767,2.4428587,0.21993564,65.05537,5.258921,0.088438876,0.13104999,0.14130937
5489.753,13.135052,111.705635,54.39903,35.85112,2.4637425,0.20595606,63.141594,5.414297,0.0759091,0.11881378,0.13599116
5489.9053,11.803177,160.69101,46.573643,33.083767,2.491221,0.19244641,61.88159,5.6151567,0.06085018,0.10247597,0.117152765
5490.0576,12.363098,237.6863,53.157455,36.87345,2.520314,0.17472269,60.727665,5.837349,0.04190571,0.08122474,0.09914901
5490.21,14.418067,376.79572,75.48594,51.059975,2.5446885,0.1625787,61.2056,6.0840473,0.04190571,0.08122474,0.09914901
5490.3623,17.289568,1045.6191,84.59839,64.15672,2.5853071,0.15059195,57.505108,6.5312805,0.025037197,0.059887055,0.09839507
5490.5146,22.929323,1950.0,82.58171,78.95224,2.6352673,0.12796696,55.622047,7.148808,0.017144809,0.04259064,0.11017523
5490.667,31.51068,1950.0,67.7617,78.014435,2.6796465,0.09946703,55.01771,7.6386847,0.012876792,0.03409536,0.099173404
5490.82,41.54947,282.9521,42.962063,59.65424,2.7015061,0.07196513,54.122192,7.6291766,0.03603236,0.05991118,0.08485465
5490.972,47.651356,106.69657,24.201582,70.25514,2.6781948,0.06397709,56.329113,7.229243,0.03603236,0.05991118,0.08485465
5491.1245,41.22982,73.29546,12.487938,18.095814,2.60827,0.115078464,63.10986,6.8510895,0.06266635,0.092154324,0.09465426
5491.277,30.949774,53.14593,21.290773,34.49401,2.5333712,0.18034007,73.50279,6.690241,0.073276095,0.103813365,0.11160109
5491.429,20.643007,29.367573,35.783714,30.091738,2.507995,0.20870326,78.44037,6.504942,0.060764648,0.099265225,0.11315631
5491.5815,20.03723,57.84615,95.62727,58.3685,2.5498936,0.16799581,90.46638,5.970142,0.041964922,0.08907482,0.10583377
5491.734,23.457245,64.27264,68.77251,36.208214,2.5798597,0.13595915,71.076935,5.287369,0.041964922,0.08907482,0.10583377
5491.886,23.700544,91.253075,88.7674,72.67109,2.611352,0.1319601,62.672443,4.704884,0.04195768,0.08905945,0.10581551
5492.039,22.276007,147.51625,138.14885,52.422432,2.6421697,0.12163338,55.04043,4.4458656,0.041178647,0.085740656,0.10050562
5492.1914,18.811663,284.25314,189.95956,49.680454,2.6887045,0.09407975,51.522514,4.3664303,0.036452558,0.07544451,0.07977366
5492.3438,18.15438,1793.6584,262.64822,69.12459,2.7061229,0.06161221,49.452625,4.372432,0.030667312,0.06962651,0.0722698
5492.496,25.519178,692.24884,381.78427,103.030205,2.6870813,0.04354812,48.740936,4.4563804,0.030667312,0.06962651,0.0722698
5492.6484,32.977184,646.17426,533.02277,160.64415,2.648844,0.05333233,51.00575,4.6006427,0.03592905,0.077958636,0.0880172
5492.801,37.309097,653.9986,601.4936,222.9385,2.5984552,0.0789237,54.08944,4.788113,0.05946101,0.09541919,0.11620447
5492.953,29.300661,569.92126,573.138,254.04951,2.5531023,0.10132279,56.531788,4.9568644,0.07946827,0.11418189,0.12952016
5493.1055,19.902475,490.26794,524.8289,219.30368,2.5316792,0.10729302,59.484695,5.0467005,0.07544309,0.1169298,0.119967096
5493.258,14.591774,616.6903,428.74915,242.0728,2.5407505,0.10370274,61.13499,5.039454,0.07544309,0.1169298,0.119967096
5493.4106,14.517398,663.4565,352.0772,258.0282,2.5668464,0.09771437,61.11247,4.930217,0.061537527,0.10315852,0.10419866
5493.563,14.684315,722.3809,364.0852,286.09998,2.5845215,0.091061786,60.16687,4.8770223,0.055129625,0.09542207,0.0968261
5493.7153,14.243251,780.022,483.4928,370.29535,2.5889604,0.09184645,59.452972,4.9306607,0.06233938,0.09850772,0.10434775
5493.8677,13.753712,772.719,652.4606,480.99414,2.5867193,0.09316592,59.500954,5.0368557,0.0669222,0.10347791,0.10915997
5494.02,14.967607,743.11615,719.55585,591.97565,2.5909276,0.10214716,59.60581,5.0351925,0.0669222,0.10347791,0.10915997
5494.1724,16.747934,498.8398,395.74954,359.38098,2.5998137,0.10082535,59.46625,4.944376,0.05905425,0.09429633,0.09875109
5494.3247,18.171328,406.45132,351.8437,273.40988,2.6087642,0.097127356,58.375084,4.842512,0.039118905,0.072867826,0.08765844
5494.477,24.386984,403.1862,364.43155,308.1529,2.624147,0.08040508,56.259754,4.6822386,0.034453947,0.066182874,0.090402156
5494.6294,34.70167,246.93233,275.78925,256.83295,2.6392813,0.070257105,56.310707,4.440499,0.034447443,0.06617038,0.09038509
5494.782,40.52888,153.2551,187.87698,193.46553,2.6240387,0.08825515,58.856632,4.25621,0.034447443,0.06617038,0.09038509
5494.9346,37.199337,140.63893,172.73822,159.70985,2.5557566,0.12122835,62.451023,4.374465,0.057790514,0.09193784,0.120123014
5495.087,27.18662,159.96602,147.98892,149.87907,2.4813783,0.16338648,65.68817,4.6349072,0.09185518,0.12665184,0.14443755
5495.2393,22.78395,95.67961,131.25519,156.76588,2.442397,0.18410875,67.02053,4.883022,0.10306623,0.1344983,0.14919205
5495.3916,22.632904,64.119026,142.84322,146.70004,2.4632611,0.18690513,64.8701,4.9266424,0.08365902,0.11261316,0.12673075
5495.544,24.388512,120.64032,127.8766,129.60355,2.5105412,0.15860566,62.444138,4.892099,0.08365902,0.11261316,0.12673075
5495.6963,26.02889,130.30641,168.8995,140.78716,2.5595198,0.1257725,59.061234,4.818829,0.06296762,0.09060387,0.10087583
5495.8486,24.759497,220.8984,104.93131,92.34673,2.5974684,0.100735866,56.489647,4.7112923,0.053333715,0.085705996,0.09599126
5496.0015,25.250875,91.211655,90.5564,77.4243,2.6100326,0.0990479,55.993904,4.6132975,0.055333175,0.092036635,0.102693655
5496.154,26.580032,74.38907,71.050835,57.458027,2.6139896,0.10466395,56.385353,4.447981,0.05253087,0.095267676,0.107913144
5496.306,33.45932,53.06534,56.89652,50.236668,2.6028397,0.113094874,57.12893,4.276051,0.05253087,0.095267676,0.107913144
5496.4585,39.519646,53.64767,50.03371,46.156723,2.5794911,0.11438609,59.041637,4.1696143,0.056174885,0.09408619,0.10304655
5496.611,44.84456,81.08588,72.62589,63.680546,2.5321062,0.11564226,63.059864,4.232836,0.06897633,0.09410036,0.0941043
5496.763,46.047405,108.70886,99.79192,85.97144,2.515616,0.11949879,65.33088,4.197569,0.06225909,0.0875396,0.08754795
5496.9155,46.749462,178.38017,164.57553,150.23929,2.5349104,0.11230486,65.22902,4.0188513,0.05705617,0.080998786,0.08180234
5497.068,48.093964,272.39844,173.5629,162.41628,2.5800238,0.1020494,63.33933,3.8447728,0.05705617,0.080998786,0.08180234
5497.22,43.22742,206.7226,194.35477,182.90056,2.5932388,0.08881902,59.013813,4.044157,0.06670799,0.08794537,0.09244004
5497.373,34.09448,208.03741,213.63184,222.5736,2.5857544,0.09414845,58.065823,4.4423046,0.078111984,0.09472511,0.097751886
5497.5254,21.405828,150.24059,224.85727,229.50014,2.5807743,0.10654633,58.02851,4.798912,0.067313,0.08437123,0.08812046
5497.6777,17.175978,133.00139,449.73056,633.58716,2.5952585,0.098638915,56.715874,4.9357243,0.049147617,0.07266384,0.07511562
5497.83,18.170185,103.54027,189.70546,241.04825,2.6177096,0.09006499,56.614227,4.888403,0.049147617,0.07266384,0.07511562
5497.9824,22.075518,108.23721,134.69075,168.57538,2.6348262,0.086428374,56.421562,4.707054,0.04197984,0.07287185,0.07649776
5498.135,24.70127,112.03949,108.106995,106.52453,2.6460297,0.0979773,56.112164,4.480557,0.041068695,0.07436516,0.08076078
5498.287,27.993116,74.059006,122.155075,114.04713,2.6517327,0.09261892,55.203266,4.302908,0.033461068,0.057926744,0.06700243
5498.4395,32.231476,123.32633,171.44615,140.89783,2.6643353,0.06081626,54.44825,4.0199504,0.02465755,0.039846905,0.053324413
5498.592,36.885044,287.1368,213.0532,174.96669,2.663185,0.025825592,53.371128,3.6740956,0.02465755,0.039846905,0.053324413
5498.7446,41.419952,604.62634,306.3966,239.66408,2.6488986,0.012570916,53.164963,3.453874,0.017622368,0.028942205,0.03864826
5498.897,42.90558,401.68246,440.32745,262.2828,2.6286166,0.013618012,52.149223,3.6734686,0.018072864,0.03330025,0.03613479
5499.0493,41.308605,461.93665,580.76764,306.62903,2.6275182,0.030031666,52.064705,4.2075386,0.022662986,0.043941997,0.04395124
5499.2017,32.36275,597.5647,1032.3578,780.6598,2.6366575,0.051180404,52.656876,4.7696753,0.026258063,0.04789831,0.04790306
5499.354,25.046488,542.85144,739.856,716.55023,2.647008,0.05690834,52.336124,5.1304855,0.026258063,0.04789831,0.04790306
5499.5063,20.695745,338.94543,679.9229,883.0723,2.6542876,0.046171166,53.441895,5.2783966,0.024730641,0.04348368,0.04348681
5499.6587,21.462425,254.20937,643.38324,902.5854,2.6669412,0.03493979,52.854626,5.2764997,0.017721808,0.040569972,0.040573105
5499.811,22.371742,275.4346,676.1286,798.44867,2.687572,0.027961181,52.355843,5.112944,0.012838887,0.03924778,0.047388464
5499.964,24.347494,305.87204,1503.4894,1518.0391,2.6976469,0.03911882,51.591473,4.858137,0.010415798,0.04350697,0.052404825
5500.116,26.225855,429.82684,1340.9924,841.0145,2.6979728,0.05959738,51.19162,4.546309,0.010415798,0.04350697,0.052404825
5500.2686,27.380121,476.64886,677.5692,403.41818,2.6871479,0.075990714,51.094814,4.2810683,0.016927328,0.052812055,0.054051053
5500.421,28.594315,582.18695,1010.4838,453.79065,2.682653,0.07474897,51.230675,4.0531893,0.018315736,0.0435033,0.0435358
5500.573,34.51072,681.9069,759.4094,331.88287,2.6865869,0.05353798,51.305614,3.8596082,0.01471227,0.027916046,0.032125827
5500.7256,41.021473,1247.8829,826.95886,319.22794,2.6757073,0.033285778,51.0229,3.7632349,0.020021431,0.03184481,0.03187726
5500.878,46.281628,771.421,626.7087,294.31357,2.6473558,0.023182655,51.34745,3.8068094,0.020021431,0.03184481,0.03187726
5501.0303,39.850304,710.1895,583.83954,278.42075,2.604155,0.03681407,53.400593,4.014297,0.048814777,0.069186814,0.06918995
5501.1826,28.083242,722.8607,442.62164,286.6934,2.551269,0.074406154,58.77788,4.346793,0.09291726,0.12434359,0.12436221
5501.3354,15.589912,870.03766,525.47296,343.596,2.4844468,0.12378537,65.2303,4.708553,0.12261495,0.15892321,0.16432591
5501.488,9.73702,709.0842,699.8717,427.46295,2.433709,0.14906168,68.23918,4.9604025,0.11864741,0.15158963,0.16384992
5501.64,9.465327,1194.7922,798.0696,647.51184,2.4300532,0.15134932,67.35524,4.8782616,0.11864741,0.15158963,0.16384992
5501.7925,9.488738,1874.4764,784.1009,629.355,2.4598856,0.13631597,64.681564,4.628646,0.0996966,0.12655605,0.13919988
5501.945,10.913276,1921.3467,742.2866,608.21686,2.4936688,0.122836486,62.2106,4.366188,0.08550691,0.10584065,0.113746576
