DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,CMFF,CMRP_3MS,TCMR
6050.585,27.374037,48.122364,60.310467,50.99069,2.3002903,0.14595604,63.627644,0.11177875,0.086091675,0.10297888,0.12733334
6050.7373,21.987434,36.773373,42.810596,39.602875,2.293669,0.12527555,64.68527,0.10928944,0.086091675,0.10297888,0.12733334
6050.8896,28.75434,35.816006,40.594143,39.440018,2.21799,0.105426036,65.21136,0.102368295,0.082011476,0.094243914,0.116714835
6051.042,19.819307,39.94542,42.977238,45.657734,2.1661477,0.08799693,64.303696,0.10000001,0.07271729,0.085080326,0.09967421
6051.1943,38.248215,49.754284,59.0986,67.893845,2.2186065,0.06785657,63.410706,0.10000001,0.058793858,0.075212814,0.07521289
6051.3467,38.265106,81.20542,88.87473,86.45709,2.2943814,0.06135587,62.28953,0.10000001,0.049565814,0.062016014,0.062016092
6051.499,35.989235,141.81491,183.0245,157.58192,2.3424995,0.057803918,62.167194,0.10000001,0.049565814,0.062016014,0.062016092
6051.652,24.711035,157.79834,381.84045,166.42627,2.343161,0.06402582,62.781578,0.10167193,0.05477721,0.06364403,0.06364411
6051.804,20.199738,165.66013,308.4593,138.32628,2.3522522,0.08164712,61.875904,0.103745304,0.069177344,0.0815616,0.09005646
6051.9565,22.455385,185.36383,362.1887,163.97061,2.3453083,0.1023805,60.74322,0.115645066,0.07168284,0.09351359,0.10693835
6052.109,17.082262,236.16908,493.08606,161.56247,2.300169,0.12565957,58.457417,0.12986308,0.06514874,0.091538236,0.10111558
6052.261,17.08224,312.0937,740.83966,158.85336,2.3091216,0.12795323,59.194206,0.14063437,0.06514874,0.091538236,0.10111558
6052.4136,20.684526,378.70496,906.261,170.22534,2.3378322,0.11857611,60.56044,0.13235982,0.075783685,0.101590425,0.106352136
6052.566,17.102442,435.22787,1189.6472,184.04045,2.404078,0.106587574,61.779778,0.11646989,0.07521953,0.10052197,0.10170227
6052.7183,18.004705,487.47324,1513.4742,200.40498,2.4078531,0.10291188,62.907818,0.10362523,0.08291884,0.105938554,0.10593863
