DEPTH,GR_EDTC,NPHI,AT10,AT20,AT30,AT60,AT90,RHOM,CMFF,TCMR,CMRP_3MS
6112.002,30.169945,0.0026730248,956.6084,515.09955,1870.9402,1950.0,1916.1287,2.650995,0.012193003,2.0910895,0.014570465
6112.764,47.68723,0.003672688,869.77484,393.15527,1575.8744,1950.0,1659.526,2.6780374,0.018108042,4.1547403,0.020518875
6113.526,69.9313,0.013965677,1376.348,479.28937,1785.6202,1950.0,1859.5183,2.7132885,7.849454e-06,2.885167,0.0016081505
6114.288,35.656353,0.0030210575,911.5479,468.27448,1950.0,1950.0,1950.0,2.7478142,0.0021683932,1.3529295,0.0084379
6115.05,25.270187,0.0029894772,858.9836,448.7135,1833.1602,1950.0,1950.0,2.6812537,0.020840714,4.586846,0.021249318
6115.812,39.529915,0.0022161815,636.0774,368.08505,1422.7513,1950.0,1950.0,2.6974418,0.018031007,3.3001502,0.032343455
6116.574,36.51144,0.003277173,828.9361,501.87997,1950.0,1950.0,1950.0,2.675834,0.00408315,2.9979422,0.018838903
6117.336,70.733376,0.003407588,790.57306,485.21408,1919.2418,1950.0,1580.0549,2.709475,2.4712706e-05,0.004996167,3.3821965e-05
6118.098,69.474846,0.0050960467,605.23126,403.9868,1869.3618,1950.0,1751.1742,2.6818733,0.0042090463,2.4623942,0.01580925
6118.86,26.492933,0.008258468,453.34653,349.25433,1848.4789,1950.0,1950.0,2.7066493,0.017199516,6.0738354,0.040313978
6119.622,15.280548,0.009368953,419.0382,295.59085,1042.4996,1950.0,1950.0,2.7274632,0.027722865,6.365021,0.0399168
6120.3843,18.959394,0.0055106254,442.45425,382.15384,1573.6832,1950.0,1950.0,2.6857786,0.020083446,5.7548375,0.04294137
6121.146,25.46747,0.006881773,449.57248,378.32584,1290.7507,1950.0,1909.497,2.6907852,0.02210557,4.7790747,0.024002323
6121.908,29.086367,0.004065265,520.503,389.2982,1255.5065,1950.0,1774.3971,2.7363088,0.029074175,7.2805786,0.034609094
6122.67,24.658815,0.0028020446,626.622,374.66934,1221.1262,1950.0,1432.8932,2.7284513,0.018442173,1.9654765,0.019650627
6123.432,28.121454,0.002499459,850.5927,451.6166,1582.9236,1950.0,1164.8492,2.7185323,0.013971398,2.4085944,0.0162526
6124.194,20.779882,0.0021633913,1041.2258,410.58047,1491.5652,1950.0,1699.254,2.6940513,0.014021495,5.0136113,0.032259177
6124.956,41.179768,0.0011278996,844.1692,446.22287,1567.0393,1950.0,1412.7963,2.688699,0.021632234,3.0964787,0.021636304
6125.7183,47.378742,0.0007259486,588.29,387.579,1402.3853,1950.0,1247.1923,2.7175984,0.02175943,3.108083,0.023909753
6126.48,40.758327,0.0024402072,675.3749,431.1199,1515.8198,1950.0,1690.0281,2.711342,0.013293806,3.4666338,0.01777717
6127.242,29.750498,0.0014907338,731.71625,434.1052,1525.7965,1950.0,1918.2354,2.7479827,0.00149754,1.9557959,0.01309036
6128.004,24.135483,0.0027595325,688.8193,459.77332,1768.2316,1950.0,1490.6095,2.7494323,0.004827176,2.5503953,0.009113651
6128.766,19.360056,0.0033888551,637.5012,374.46048,1362.2095,1910.6451,1206.0776,2.708415,0.012732407,1.9948132,0.019943992
6129.528,15.150158,0.010478292,676.9597,414.53238,1767.5464,1950.0,1917.0708,2.6600103,0.009562243,1.4316976,0.014311271
6130.29,16.086721,0.0040096664,627.6981,423.02213,1818.1642,1950.0,1132.6624,2.6954415,0.0004428244,0.9751293,0.009734565
6131.0522,19.355364,0.0010362604,723.0013,466.11053,1753.1194,1950.0,1560.0686,2.6767704,0.01736901,4.700584,0.03824154
6131.814,46.46449,0.0026444444,628.1778,401.01813,1372.6901,1950.0,1653.5505,2.6851027,8.1485654e-05,3.6854718,0.0040646796
6132.576,31.71638,0.0056687444,877.798,447.88593,1311.9463,1950.0,1756.0562,2.69883,0.014889368,2.5907094,0.025902953
6133.338,18.309362,0.0047551715,998.8754,460.51486,1048.4304,1950.0,1558.3895,2.6730797,0.009631424,2.7973995,0.017633194
6134.1,19.564034,0.004951901,671.4159,370.0302,1467.0847,1950.0,1282.5015,2.6900122,0.018690243,1.9398613,0.019377856
6134.862,17.991484,0.005223628,370.1621,235.55904,638.43744,1693.3403,887.7431,2.7281682,0.010468048,4.936648,0.028288415
6135.624,13.549113,0.002404781,339.8154,159.67993,376.67868,1318.2313,695.5361,2.7196817,0.015762247,3.0817091,0.025062801
6136.386,16.306532,0.0018112875,768.7949,446.80057,1767.612,1950.0,1894.715,2.7083716,0.0037250079,2.857763,0.0037290864
6137.148,17.522867,0.00021493068,757.78265,493.26553,1950.0,1950.0,1897.9283,2.7260702,0.008955254,1.1467018,0.011457148
6137.91,14.518722,0.0021244276,775.1132,558.81647,1948.987,1950.0,1688.606,2.6596014,0.009046235,3.5136793,0.0351178
6138.672,34.43704,0.0016531794,775.1116,544.2479,1821.614,1950.0,1585.3142,2.7297094,0.011670229,2.4423592,0.022164144
6139.434,34.434788,0.003877982,745.7766,532.8747,1916.6246,1950.0,1239.9911,2.6703286,0.006012554,2.198004,0.007918292
6140.196,42.59328,0.004561816,714.1006,485.1753,1893.0562,1950.0,1298.0621,2.701016,0.007868281,2.7068305,0.017182078
