DEPTH,GR,SP,RHGX_HILT,DTCO3,AT10,AT30,AT90,RHOZ,NPHI,CMFF,CMRP_3MS,TCMR
5022.342,8.386833,-1413.3125,3.6343448,65.38819,1950.0,1276.1464,82.98559,4.6288,0.91949326,0.0016877138,0.0016920216,0.006273989
5022.4946,7.7540874,-1409.75,3.6343448,67.505005,1950.0,1036.3245,96.5077,4.6288,0.7047471,0.0016874808,0.0016917881,0.0062731234
5022.647,8.025762,-1416.375,3.6343448,68.78077,1950.0,812.6086,108.61127,4.6288,0.04805313,0.001687118,0.0016914243,0.0062717744
5025.39,8.471757,-1411.9375,3.6242151,68.28725,1950.0,624.79865,120.2367,4.6288,-0.01681876,0.001686392,0.0016906965,0.0062690754
5026.457,7.216936,-1414.0625,3.612846,67.31731,1950.0,478.61826,132.19919,4.6288,-0.04658359,0.0016867551,0.0016910604,0.0062704254
5026.6094,6.791987,-1409.75,3.6097667,66.590416,1950.0,370.24994,141.89029,4.6288,-0.14137696,0.0016883797,0.0016926891,0.0062764646
5026.7617,7.047418,-1411.9375,3.6101663,66.23933,1950.0,291.96182,147.20285,4.6288,-0.12545554,0.0016883797,0.0016926891,0.0062764646
5026.914,8.190296,-1406.375,3.6093934,65.954704,1950.0,236.87386,147.74422,4.6288,-0.12881395,0.0016879651,0.0016922737,0.0062749237
5027.0664,8.738149,-1403.1875,3.6097562,65.187706,1950.0,198.39046,143.17589,4.6288,-0.060055606,0.0016874206,0.0016917277,0.0062728995
5028.438,7.4458923,-1400.4375,3.6106493,65.194305,1950.0,172.19168,134.9489,4.6288,-0.029288229,0.0016876531,0.0016919608,0.006273764
5028.5903,9.027282,-1397.125,3.610924,66.32024,1950.0,153.97746,124.492584,4.6288,-0.02514457,0.0016874206,0.0016917277,0.0062728995
5028.7427,8.756548,-1388.3125,3.6115897,67.27339,1950.0,139.63599,115.53967,4.6288,0.09473008,0.0016874206,0.0016917277,0.0062728995
5028.895,9.716395,-1383.625,3.611391,68.26499,1950.0,132.30022,107.53559,4.6288,0.067917936,0.0016877836,0.0016920917,0.0062742494
5029.048,9.214281,-1376.9375,3.6125782,68.25415,1950.0,137.4149,100.10288,4.6288,-0.0713439,0.0016853027,0.0016896044,0.0062650265
5029.2,8.578328,-1371.9375,3.613051,67.04147,1950.0,145.22351,92.223495,4.6288,-0.1894729,0.0016853027,0.0016896044,0.0062650265
5030.2666,7.5951257,-1367.6875,3.614256,66.36294,1950.0,157.43912,85.57847,4.6288,0.10480023,0.0016856652,0.0016899678,0.0062663737
5030.4194,8.101905,-1371.5,3.6141794,64.97878,1950.0,172.38194,85.04813,4.6288,0.096558854,0.0016860277,0.0016903313,0.0062677218
5030.572,7.2058053,-1358.625,3.614174,64.13174,1950.0,194.30762,76.68993,4.6288,-0.026034556,0.0016856652,0.0016899678,0.0062663737
5030.724,6.5761223,-1358.6875,3.6153827,64.37749,1950.0,221.85577,68.78527,4.6288,-0.0595647,0.0016843458,0.001688645,0.0062614693
5030.8765,7.079548,-1361.3125,3.6171396,64.74023,1950.0,253.86107,57.776302,4.6288,0.07567254,0.0016849402,0.0016892409,0.0062636784
5031.9434,9.77662,-1364.875,3.6169765,64.38782,1950.0,288.14426,47.876072,4.6288,-0.07741949,0.0016853027,0.0016896044,0.0062650265
5036.515,8.440479,-1366.0,3.6168003,63.75397,1950.0,321.84195,52.1558,4.6288,-0.00301467,0.0016860277,0.0016903313,0.0062677218
5036.6675,8.437126,-1365.9375,3.616924,63.6889,1950.0,353.99295,26.322144,4.6288,0.052167732,0.0016851516,0.0016894529,0.0062644645
5037.4297,7.5954185,-1368.4375,3.617445,64.810135,1950.0,378.95706,16.686052,4.6288,-0.04224358,0.0016851516,0.0016894529,0.0062644645
5037.582,6.9499383,-1372.5,3.616781,66.02919,1950.0,402.59213,14.476248,4.6288,-0.040369295,0.0016855139,0.001689816,0.006265811
5037.7344,7.079987,-1368.5,3.6143775,67.12327,1950.0,441.61902,18.54127,4.6288,0.65504164,0.0016851516,0.0016894529,0.0062644645
5037.8867,8.349851,-1368.25,3.611793,67.26156,1950.0,489.4197,30.465498,4.6288,0.8129519,0.0016861091,0.0016904129,0.0062680244
5038.039,10.258343,-1370.4375,3.6112146,67.00737,1950.0,545.0936,28.132952,4.6288,0.8498369,0.0016855139,0.001689816,0.006265811
5038.1914,9.495549,-1369.0625,3.6115294,66.52834,1950.0,618.7874,29.756025,4.6288,0.11083027,0.0016853836,0.0016896855,0.0062653273
5038.344,8.711369,-1372.1875,3.6129575,66.11758,1950.0,712.911,37.95993,4.6288,0.01783392,0.0016855139,0.001689816,0.006265811
5038.4966,9.222084,-1378.125,3.6144888,65.8705,1950.0,827.5809,35.486816,4.6288,0.05801798,0.001685605,0.0016899075,0.00626615
5039.2583,11.283104,-1381.4375,3.6148994,65.4839,1950.0,969.0205,25.132677,4.6288,0.33306265,0.001685605,0.0016899075,0.00626615
