DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,CMFF,CMRP_3MS,TCMR
5493.1055,19.902475,490.26794,524.8289,219.30368,2.5316792,0.10729302,59.484695,5.0467005,7.5443087,11.69298,11.99671
5493.258,14.591774,616.6903,428.74915,242.0728,2.5407505,0.10370274,61.13499,5.039454,7.5443087,11.69298,11.99671
5493.4106,14.517398,663.4565,352.0772,258.0282,2.5668464,0.09771437,61.11247,4.930217,6.153753,10.315852,10.419866
5493.563,14.684315,722.3809,364.0852,286.09998,2.5845215,0.091061786,60.16687,4.8770223,5.5129623,9.542207,9.68261
5493.7153,14.243251,780.022,483.4928,370.29535,2.5889604,0.09184645,59.452972,4.9306607,6.233938,9.850772,10.434775
5493.8677,13.753712,772.719,652.4606,480.99414,2.5867193,0.09316592,59.500954,5.0368557,6.69222,10.347791,10.915997
5494.02,14.967607,743.11615,719.55585,591.97565,2.5909276,0.10214716,59.60581,5.0351925,6.69222,10.347791,10.915997
5494.1724,16.747934,498.8398,395.74954,359.38098,2.5998137,0.10082535,59.46625,4.944376,5.905425,9.429633,9.875109
5494.3247,18.171328,406.45132,351.8437,273.40988,2.6087642,0.097127356,58.375084,4.842512,3.9118905,7.2867827,8.765844
5494.477,24.386984,403.1862,364.43155,308.1529,2.624147,0.08040508,56.259754,4.6822386,3.4453948,6.6182876,9.0402155
5494.6294,34.70167,246.93233,275.78925,256.83295,2.6392813,0.070257105,56.310707,4.440499,3.4447443,6.617038,9.038508
5494.782,40.52888,153.2551,187.87698,193.46553,2.6240387,0.08825515,58.856632,4.25621,3.4447443,6.617038,9.038508
5494.9346,37.199337,140.63893,172.73822,159.70985,2.5557566,0.12122835,62.451023,4.374465,5.7790513,9.193784,12.012301
5495.087,27.18662,159.96602,147.98892,149.87907,2.4813783,0.16338648,65.68817,4.6349072,9.185518,12.665184,14.443755
5495.2393,22.78395,95.67961,131.25519,156.76588,2.442397,0.18410875,67.02053,4.883022,10.3066225,13.44983,14.919205
5495.3916,22.632904,64.119026,142.84322,146.70004,2.4632611,0.18690513,64.8701,4.9266424,8.365902,11.261315,12.673076
5495.544,24.388512,120.64032,127.8766,129.60355,2.5105412,0.15860566,62.444138,4.892099,8.365902,11.261315,12.673076
