DEPTH,GR,NPHI,AT10,AT30,AT90,CMFF,CMRP_3MS,TCMR
5421.63,10.100041,0.004936355,1950.0,1950.0,63.78308,0.00044649004,0.0025182609,1.7871048
5421.782,10.816916,0.0014324439,1950.0,1950.0,58.207676,0.00044649004,0.0025182609,1.7871048
5421.935,11.132913,-0.0010396104,1950.0,1950.0,60.95292,0.0004465844,0.002518793,1.7874826
5422.0874,11.796678,-0.0026921,1950.0,1950.0,76.76455,0.00044667878,0.0025193251,1.7878602
5422.2397,11.820442,-0.0024101345,1950.0,1950.0,88.32601,0.00044667878,0.0025193251,1.7878602
5422.392,11.847808,-0.0019196033,1950.0,1950.0,95.9679,0.00044667878,0.0025193251,1.7878602
5422.5444,11.049577,-0.001322159,1950.0,1950.0,105.4381,0.0004465844,0.002518793,1.7874826
5422.697,10.98534,-0.0003815334,1950.0,1950.0,118.921265,0.00044649004,0.0025182609,1.7871048
5422.849,10.921021,0.0008636376,1950.0,1950.0,134.33638,0.00044649004,0.0025182609,1.7871048
5423.0015,10.922329,0.0022629346,1950.0,1950.0,151.00572,0.00044649004,0.0025182609,1.7871048
5423.154,10.364694,0.0037997616,1950.0,1950.0,167.73866,0.00044649004,0.0025182609,1.7871048
5423.3066,10.45398,0.003227225,1950.0,1950.0,183.32857,0.00044667878,0.0025193251,1.7878602
5423.459,11.716647,0.0017414932,1950.0,1950.0,197.5541,0.00044667878,0.0025193251,1.7878602
5423.6113,12.358058,-0.0010759642,1950.0,1950.0,209.94765,0.00044667878,0.0025193251,1.7878602
5423.7637,13.18913,-0.001941768,1950.0,1950.0,220.05006,0.00044667878,0.0025193251,1.7878602
5423.916,12.073502,-0.0016003618,1950.0,1950.0,226.72318,0.00044667878,0.0025193251,1.7878602
5424.0684,11.737453,0.0014683426,1950.0,1950.0,227.06105,0.00044667878,0.0025193251,1.7878602
5424.2207,10.53439,0.0067539914,1950.0,1950.0,217.80054,0.00044667878,0.0025193251,1.7878602
5424.373,10.806168,0.013933237,1950.0,1950.0,198.28209,0.00044667878,0.0025193251,1.7878602
5424.5254,9.923217,0.02283263,1950.0,1950.0,171.70554,0.0004465844,0.002518793,1.7874826
5424.678,9.483357,0.02408613,1950.0,1950.0,143.5786,0.0004465844,0.002518793,1.7874826
5424.8306,9.167422,0.021269908,1950.0,1950.0,118.24983,0.00044667878,0.0025193251,1.7878602
5424.983,9.87193,0.016985279,1950.0,1950.0,98.02539,0.00044667878,0.0025193251,1.7878602
5425.1353,10.006259,0.017486935,1950.0,1950.0,84.008896,0.00044667878,0.0025193251,1.7878602
5425.2876,10.854741,0.026329396,1950.0,1950.0,70.250946,0.00044667878,0.0025193251,1.7878602
5425.44,11.385018,0.042058907,1950.0,1950.0,64.60121,0.00044667878,0.0025193251,1.7878602
5425.5923,12.868703,0.055004325,1950.0,1950.0,61.40888,0.00044677308,0.0025198571,1.7882377
5425.7446,12.03804,0.0570033,1950.0,1950.0,60.22737,0.00044677308,0.0025198571,1.7882377
5425.8975,11.579181,0.05509104,1950.0,1950.0,52.53422,0.00044677308,0.0025198571,1.7882377
5426.05,11.066033,0.060233444,1950.0,1950.0,45.365948,0.00044667878,0.0025193251,1.7878602
5426.202,11.451187,0.0612893,1950.0,1950.0,56.743294,0.00044667878,0.0025193251,1.7878602
5426.3545,11.80737,0.05775723,1950.0,1950.0,50.32863,0.00044667878,0.0025193251,1.7878602
5426.507,10.970714,0.051218156,1950.0,1950.0,56.433216,0.0004465844,0.002518793,1.7874826
5426.659,10.770692,0.05467132,1950.0,1950.0,50.008423,0.0004465844,0.002518793,1.7874826
5426.8115,10.532482,0.074396215,1950.0,1950.0,48.544605,0.00044677308,0.0025198571,1.7882377
5426.964,10.918269,0.094697475,1950.0,1950.0,51.940773,0.00044677308,0.0025198571,1.7882377
5427.116,11.738457,0.109683655,1950.0,1950.0,55.333416,0.00044677308,0.0025198571,1.7882377
5427.269,11.843381,0.11740862,1950.0,1950.0,56.026142,0.00044649004,0.0025182609,1.7871048
5427.4214,11.615582,0.13334893,1950.0,1950.0,58.691914,0.00044677308,0.0025198571,1.7882377
5427.5737,10.452708,0.14598152,1950.0,1950.0,68.457985,0.00044667878,0.0025193251,1.7878602
5427.726,10.2092905,0.14468215,1950.0,1950.0,80.34499,0.00044667878,0.0025193251,1.7878602
5427.8784,10.330356,0.1257354,1950.0,1950.0,86.230774,0.00044667878,0.0025193251,1.7878602
5428.031,10.533953,0.10762446,1950.0,1950.0,86.13833,0.00044667878,0.0025193251,1.7878602
5428.183,9.81059,0.10733515,1950.0,1950.0,86.79064,0.00044677308,0.0025198571,1.7882377
5428.3354,10.17002,0.122725174,1950.0,1950.0,92.81597,0.00044649004,0.0025182609,1.7871048
5428.488,10.371877,0.13696569,1950.0,1950.0,100.52138,0.00044649004,0.0025182609,1.7871048
5428.6406,11.126236,0.14887401,1950.0,1950.0,108.315094,0.00044649004,0.0025182609,1.7871048
5428.793,11.182385,0.15018302,1950.0,1950.0,116.46856,0.00044677308,0.0025198571,1.7882377
