MD,k,phi,GR,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5361.0,559.0,16.4,41.64275,14.33595,2.4007628,0.22210206,68.0656,5.8694677,0.15406036,0.18106383,0.18927057
5364.0,18.7,7.8,27.977766,60.375744,2.4485831,0.21859471,67.933205,5.497717,0.13016672,0.17254275,0.18391958
5364.15,1.55,15.0,30.031378,60.50327,2.4446125,0.22234084,68.09163,5.354233,0.13137615,0.17101285,0.18129455
5364.5,34.9,12.8,39.92456,88.85118,2.413962,0.21544273,68.04585,5.233103,0.14903724,0.17229217,0.17230348
5365.2,111.0,14.0,47.384068,178.68462,2.3945255,0.23297891,67.086334,5.49595,0.16021399,0.18771552,0.19284955
5365.85,63.6,13.1,40.141647,72.07811,2.436375,0.20653635,64.50467,5.494516,0.14216913,0.1744713,0.17448209
5366.15,71.2,12.5,42.54247,35.886265,2.4530654,0.17619137,64.52135,5.6226077,0.13441435,0.16485447,0.16485746
5366.45,227.0,16.2,39.071426,29.04021,2.4618244,0.16556865,64.3672,5.483517,0.119712725,0.15328343,0.15363312
5367.1,9.66,14.2,34.770267,54.087597,2.4843323,0.19311185,64.47692,5.0323977,0.11863202,0.15244377,0.16136612
5367.5,1.99,10.3,21.042606,134.28041,2.4724836,0.17394647,63.96859,5.223278,0.12252506,0.16551667,0.16859132
5368.6,572.0,19.2,25.18525,30.36506,2.4738455,0.1804344,64.25286,5.2870445,0.10559966,0.14576039,0.15071738
5368.7,47.1,14.0,27.53538,33.060467,2.4612103,0.178058,64.90826,5.333421,0.10582295,0.14504035,0.14976399
5369.65,67.1,16.3,48.640575,13.484386,2.520617,0.17233308,65.50533,5.109152,0.08763665,0.1317687,0.13481513
5370.0,1.05,10.1,47.247852,13.931621,2.5036159,0.19535533,65.677864,5.0323257,0.08425598,0.1314004,0.13340019
5371.45,322.0,15.4,48.211273,338.1862,2.410112,0.22866234,68.65275,5.2279263,0.16229983,0.18253513,0.18253843
5372.75,149.0,12.4,19.296913,13.039471,2.4300046,0.20834936,65.26058,5.386896,0.10590094,0.16043563,0.16682525
5373.5,596.0,20.3,21.401505,10.54395,2.4333436,0.1861071,65.5494,4.838677,0.15906784,0.187003,0.187006
5378.0,75.0,12.2,19.714018,9.536549,2.4781353,0.122295484,60.348713,5.4199333,0.06791401,0.10791599,0.11045083
5382.15,255.0,12.6,13.532898,23.302536,2.5402215,0.12665822,62.723404,6.106866,0.07205124,0.10237923,0.11718975
5382.35,166.0,10.3,14.131701,24.772932,2.5449378,0.12717979,63.372013,5.8339715,0.05545648,0.07948883,0.096331134
5382.65,1680.0,8.9,14.924747,25.726469,2.4895937,0.122758344,64.7785,5.5372815,0.07064095,0.09591044,0.107350096
5383.2,1050.0,12.3,17.129553,23.22858,2.411165,0.20617752,65.85402,5.848442,0.14178754,0.1833798,0.19539542
5384.3,836.0,12.2,24.715149,101.09242,2.453776,0.19700684,64.00061,5.4191456,0.13017897,0.1657858,0.1657888
5384.6,395.0,13.9,21.571434,234.53474,2.4776385,0.20599113,63.612606,5.529885,0.13117109,0.16970414,0.16970715
5386.85,2430.0,15.9,18.335945,252.20305,2.5042994,0.15669167,62.55341,5.8573723,0.084724925,0.13303715,0.14520474
5387.15,2020.0,11.4,23.524427,95.463905,2.4772947,0.15243724,61.305164,6.02227,0.097477876,0.14206989,0.14616412
5387.5,1930.0,14.1,21.221382,46.40779,2.5028834,0.14459084,60.352074,6.76779,0.11220442,0.15394427,0.15498218
5387.9,1680.0,15.1,19.917328,32.899895,2.461989,0.07446221,59.95768,7.906312,0.06383242,0.0973979,0.105606265
