DEPTH,k,phi,GR,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5728.716,0.055,3.7,39.245403,23.027239,2.57271,0.10980187,58.49748,4.924894,0.0006008821,0.0007997565,0.00079979445
5729.021,0.195,6.2,44.367275,17.83754,2.6220427,0.095955394,56.843956,4.888139,0.0005566576,0.0007007176,0.0007008061
5729.3257,2.89,10.3,48.280792,27.108486,2.65557,0.09533141,55.906815,4.633071,0.0006322353,0.00077528576,0.00077532366
5729.6304,15.2,16.4,55.302227,45.71646,2.6365967,0.08747995,55.25529,4.561439,0.0005042354,0.0006556554,0.0008070796
5730.24,0.286,8.9,52.956615,21.269396,2.650679,0.04353538,54.450134,4.800347,0.00019768078,0.00054140686,0.0005415301
5730.545,0.0,0.7,48.416218,30.49868,2.6313498,0.078012444,56.003345,5.042497,0.0005228959,0.00081044773,0.0008419285
5730.8496,5.26,11.7,44.669323,29.66111,2.612497,0.09323182,56.812904,5.0267863,0.0005583418,0.00084414077,0.00088714843
5731.3066,41.7,20.5,47.073368,29.200283,2.6181917,0.08053273,57.002556,4.9148545,0.0005234798,0.00071506726,0.0007202511
5731.612,108.0,18.6,42.69862,39.256355,2.5729165,0.10300019,58.445004,4.9843307,0.00078948296,0.00094205677,0.0009480071
5731.9165,27.9,17.6,35.585743,95.679306,2.501588,0.15369242,61.81412,4.8769107,0.0012399431,0.0014463707,0.0015281427
5732.221,16.6,16.6,30.78908,111.09148,2.514807,0.15168248,63.260983,4.6084156,0.0010203737,0.0012375553,0.0012882112
5732.3735,12.6,18.6,32.676273,138.50476,2.5696955,0.117233045,60.906178,4.318363,0.0007184319,0.0009794519,0.0009796314
5732.526,20.2,17.6,37.3558,204.27467,2.614496,0.083831064,57.28436,4.004553,0.00045471307,0.0007195265,0.00079302123
5732.831,49.1,17.8,49.269375,406.2804,2.6560857,0.050144225,54.88293,3.8725178,0.0006595531,0.0008268162,0.0010128842
5733.1357,157.0,18.7,49.254852,364.02338,2.6221972,0.09946902,56.80334,4.5087557,0.0011008644,0.0012239405,0.0014548568
5733.4404,21.8,15.4,24.936722,363.6929,2.485927,0.17100056,63.500626,4.8027215,0.0016397769,0.0018224523,0.0019529663
5733.745,33.4,16.2,15.380704,479.65125,2.3847764,0.20236288,68.48909,4.808493,0.0016090741,0.001804193,0.001862064
5734.2026,280.0,19.8,16.531248,1511.3174,2.3942294,0.20399764,69.000626,4.840372,0.001478761,0.0016574382,0.0017267489
5734.5073,25.3,15.0,15.722465,983.6729,2.405305,0.20493189,67.305046,4.9375405,0.0014828288,0.0017163497,0.0017163879
5734.812,448.0,14.8,18.454144,992.0855,2.432925,0.18947864,67.46361,4.934332,0.0015320872,0.0017905716,0.0017906097
5735.1167,1490.0,15.4,17.855555,757.697,2.40608,0.19750294,67.67777,4.937518,0.0015665172,0.0017485548,0.0018635638
5735.422,684.0,14.0,15.66124,693.9221,2.379957,0.19663651,68.59607,5.0232096,0.0015647003,0.001732907,0.0018138305
5735.574,548.0,15.1,14.867215,692.89703,2.3870943,0.19249448,68.31468,5.03306,0.0015517549,0.0017414148,0.0017414528
5736.0312,1190.0,16.3,12.806877,539.8747,2.4376354,0.18171048,66.26795,4.7188296,0.0015496389,0.0017184344,0.0018867222
5736.336,112.0,12.7,12.446284,412.2463,2.4646232,0.18038097,67.181755,4.2817736,0.0016094801,0.0017846443,0.0019552074
5736.6406,9.25,10.5,12.265664,366.31952,2.4416175,0.18778232,66.26222,4.3368745,0.00168353,0.0018782031,0.0020015973
5736.946,1590.0,16.4,12.12609,663.5272,2.4226778,0.15806437,65.10581,5.011846,0.0017195914,0.0019398852,0.0020182685
5737.2505,23.3,9.0,11.215837,1863.8575,2.426986,0.14185165,64.87582,5.498083,0.0014964155,0.0015760304,0.0017486807
5737.403,2.28,8.1,10.634075,1680.5392,2.4180963,0.13808697,65.328804,5.622547,0.0015431755,0.0016709354,0.0019719838
5737.555,0.652,9.7,10.87336,1450.1415,2.4052827,0.14157078,66.20649,5.7094884,0.0015431755,0.0016709354,0.0019719838
5737.86,3.75,10.9,12.634633,1628.5219,2.4187264,0.1518702,65.95039,5.7093196,0.0014816694,0.0015411101,0.0017717041
5738.165,524.0,14.2,11.95329,1217.3269,2.4474056,0.13456792,63.99753,5.7506227,0.0013081974,0.0014287852,0.0015594283
5738.4697,193.0,13.1,11.614117,1706.4288,2.4398696,0.13212247,62.745598,5.7978034,0.0013061776,0.0014442928,0.0015373691
5738.622,4530.0,17.6,11.967808,1950.0,2.4452984,0.13723536,62.743973,5.7240887,0.0013539855,0.0014967243,0.001537768
5738.927,4.56,13.5,13.433715,1257.8839,2.4609916,0.13427395,63.899464,5.5116434,0.001464997,0.0015996583,0.0016187622
5739.2314,35.0,13.6,11.645116,863.97473,2.4227152,0.13911512,64.785416,5.659704,0.0014726062,0.0016452335,0.0017424924
5739.5366,251.0,13.9,11.833438,1251.5812,2.4481008,0.13430934,64.54094,5.6469936,0.0012478164,0.0014356166,0.0015262525
5739.8413,752.0,17.0,12.870967,1401.762,2.4887443,0.11987015,63.024475,5.5442786,0.001112322,0.0012815103,0.0012822752
5740.146,65.4,16.7,13.554643,1644.4237,2.5014923,0.10525182,61.368435,5.4800305,0.0011313126,0.0012480171,0.0013193641
5740.4507,0.429,8.0,13.048396,1513.2725,2.4638405,0.118972704,63.20326,5.6543455,0.0013298229,0.0015990303,0.0016250567
5740.756,3.17,9.4,13.9007,1080.1179,2.414187,0.14235318,64.776825,5.8619165,0.0013146545,0.0016128523,0.0016128905
5740.908,6.91,12.2,13.313085,812.35504,2.4173813,0.1467504,64.41974,5.801957,0.001245195,0.0015225108,0.0015225488
5741.0605,21.2,12.0,13.702613,936.68774,2.4368813,0.14293012,65.01994,5.6701026,0.0012609024,0.001461011,0.001461129
5741.365,9.43,8.0,13.744777,1235.1846,2.4796891,0.12946807,64.34578,5.432087,0.0012557148,0.0014218747,0.0014219128
5741.8223,9.48,11.1,13.166554,1085.9519,2.4639523,0.111585416,63.389236,5.379018,0.001272714,0.0013255291,0.0013257647
5741.9746,0.009,6.2,13.979779,1039.6143,2.4429789,0.12119665,64.31208,5.3520265,0.0014226057,0.0015024989,0.0015026741
5742.1274,0.181,5.8,13.642632,1113.955,2.4255874,0.13866904,64.476494,5.2887244,0.0014226057,0.0015024989,0.0015026741
5742.432,36.3,13.2,14.9423685,1039.0532,2.4168096,0.1684069,65.45387,5.1216435,0.0015296078,0.0016756478,0.0017154553
5743.0415,0.626,7.2,20.17524,437.43497,2.5483134,0.1136628,59.602436,4.751287,0.0010503473,0.0012029522,0.001313293
5743.194,0.001,6.2,23.159277,359.61145,2.54369,0.113019265,59.10821,4.7209396,0.0010221719,0.0011644852,0.0012101447
5743.3467,49.7,14.6,22.695429,319.85995,2.5283997,0.11480301,59.51057,4.6917133,0.0010922183,0.0012193361,0.00124936
5743.6514,30.7,14.9,20.721018,246.06497,2.5005643,0.12631178,61.514694,4.4461517,0.0011256131,0.0012147471,0.0012798788
5743.956,79.3,15.6,23.009455,251.87387,2.487791,0.13994615,61.490677,4.258039,0.0011808767,0.0012867223,0.0013666322
5744.2607,12.5,17.0,22.50994,255.98463,2.5284033,0.12808175,60.793556,4.352792,0.0010041127,0.0011344162,0.0013686529
5744.7183,22.7,11.4,26.905989,168.82028,2.5563607,0.11073678,58.32023,4.512072,0.00084932626,0.0011037876,0.0011517538
